               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.039996,            0.016291,           0.0064034,             0.78484,                 0.8,               0.813,             0.45488,            0.023174,           0.0057669,           0.0013195,           0.0066673,           0.0066673,           0.0066673
                  36,            0.041365,            0.016612,           0.0055623,             0.87381,                 0.9,             0.90187,             0.55027,            0.023578,           0.0054884,           0.0013787,           0.0065693,           0.0065693,           0.0065693
                  37,            0.041555,            0.014864,           0.0072613,             0.84807,                 0.8,             0.80287,             0.45708,            0.022536,           0.0062265,           0.0044071,           0.0064713,           0.0064713,           0.0064713
                  38,            0.041439,            0.015374,           0.0057858,              0.9268,             0.89394,             0.89417,             0.51444,            0.023566,           0.0054932,           0.0039502,           0.0063733,           0.0063733,           0.0063733
                  39,            0.040116,            0.015123,           0.0059929,             0.92039,             0.89521,             0.90131,             0.52313,            0.020209,           0.0053759,           0.0058371,           0.0062752,           0.0062752,           0.0062752
                  40,            0.040336,            0.015637,           0.0053142,             0.80364,             0.79017,             0.87705,              0.4784,            0.021543,           0.0054054,            0.008876,           0.0061772,           0.0061772,           0.0061772
                  41,            0.039542,            0.015592,           0.0042884,             0.78513,             0.78575,             0.82121,              0.4289,            0.025398,           0.0051298,           0.0049427,           0.0060792,           0.0060792,           0.0060792
                  42,            0.040033,            0.013989,            0.006347,             0.84333,                   1,             0.98625,             0.63481,            0.017261,           0.0052128,           0.0012998,           0.0059812,           0.0059812,           0.0059812
                  43,            0.036246,            0.014956,           0.0056926,             0.87519,                   1,             0.98625,             0.58685,            0.018772,            0.005537,           0.0021383,           0.0058832,           0.0058832,           0.0058832
                  44,            0.039116,            0.014501,           0.0065186,             0.86373,              0.9258,             0.96875,             0.52823,            0.022766,           0.0058908,           0.0071571,           0.0057851,           0.0057851,           0.0057851
                  45,            0.037283,             0.01546,           0.0064165,             0.84871,              0.8801,             0.90618,             0.43833,            0.018917,           0.0060301,            0.005056,           0.0056871,           0.0056871,           0.0056871
                  46,             0.03603,            0.014423,             0.00401,             0.86997,             0.92857,             0.95944,             0.56857,            0.018706,           0.0053253,           0.0026997,           0.0055891,           0.0055891,           0.0055891
                  47,            0.035068,            0.014769,           0.0034705,             0.85541,                   1,             0.97944,             0.53467,             0.02225,           0.0048485,           0.0011507,           0.0054911,           0.0054911,           0.0054911
                  48,            0.038537,            0.013913,            0.003125,             0.85864,                   1,               0.995,             0.61386,            0.019266,           0.0045652,          0.00062671,           0.0053931,           0.0053931,           0.0053931
                  49,            0.033325,              0.0136,           0.0048595,             0.86645,                   1,               0.995,             0.66484,            0.016371,            0.004879,          0.00056491,            0.005295,            0.005295,            0.005295
                  50,            0.035821,            0.014898,           0.0043068,             0.86761,                   1,               0.995,              0.6553,            0.015342,           0.0050116,          0.00055933,            0.005197,            0.005197,            0.005197
                  51,            0.036476,              0.0136,           0.0027926,             0.90482,                   1,               0.995,             0.61485,            0.015921,           0.0048065,          0.00062299,            0.005099,            0.005099,            0.005099
                  52,            0.033893,            0.013675,           0.0025332,             0.90717,                   1,               0.995,             0.62465,            0.016848,           0.0048304,          0.00063357,            0.005001,            0.005001,            0.005001
                  53,             0.03226,             0.01392,            0.003617,             0.86963,                   1,               0.995,             0.57892,            0.021225,           0.0054789,          0.00063801,            0.004903,            0.004903,            0.004903
                  54,            0.035776,            0.012556,           0.0027928,             0.93532,                   1,               0.995,             0.64328,            0.015482,           0.0046625,          0.00067277,            0.004805,            0.004805,            0.004805
                  55,            0.033504,            0.013269,           0.0028624,             0.89446,                   1,               0.995,             0.60807,            0.016327,           0.0047722,          0.00062656,           0.0047069,           0.0047069,           0.0047069
                  56,            0.031931,            0.013549,            0.004475,             0.85195,                   1,               0.995,             0.62568,            0.014114,           0.0051632,          0.00057878,           0.0046089,           0.0046089,           0.0046089
                  57,            0.035038,            0.014222,           0.0034488,             0.87438,                   1,               0.995,             0.59658,            0.018303,           0.0048532,          0.00058465,           0.0045109,           0.0045109,           0.0045109
                  58,              0.0316,            0.013191,           0.0031278,             0.89232,                   1,               0.995,             0.64722,            0.016017,           0.0046239,          0.00061011,           0.0044129,           0.0044129,           0.0044129
                  59,            0.030976,            0.012329,           0.0020102,             0.89236,                   1,             0.98625,             0.60754,            0.016942,           0.0045786,          0.00062299,           0.0043149,           0.0043149,           0.0043149
                  60,            0.033446,            0.013641,            0.006469,             0.90771,                   1,             0.98625,             0.65407,            0.015903,           0.0043507,          0.00068078,           0.0042168,           0.0042168,           0.0042168
                  61,            0.035192,            0.013128,           0.0040452,             0.89127,                   1,               0.995,             0.66396,            0.016064,           0.0042686,          0.00079021,           0.0041188,           0.0041188,           0.0041188
                  62,            0.034307,            0.012917,           0.0041354,             0.88976,                   1,               0.995,             0.64289,            0.015153,           0.0043259,          0.00066218,           0.0040208,           0.0040208,           0.0040208
                  63,            0.031305,            0.013155,           0.0024322,             0.86218,                   1,               0.995,             0.71166,            0.013891,           0.0045824,          0.00052471,           0.0039228,           0.0039228,           0.0039228
                  64,            0.029143,            0.012915,           0.0020921,             0.86951,                 0.9,             0.96643,             0.64262,             0.01271,           0.0045319,          0.00047493,           0.0038248,           0.0038248,           0.0038248
                  65,            0.029744,            0.012779,           0.0037253,             0.89075,             0.96575,               0.995,             0.69908,            0.012214,           0.0042601,          0.00046062,           0.0037267,           0.0037267,           0.0037267
                  66,             0.02951,            0.013919,           0.0029191,             0.75597,                   1,             0.95292,             0.67542,            0.013645,           0.0044966,           0.0004818,           0.0036287,           0.0036287,           0.0036287
                  67,             0.02851,            0.013472,           0.0030109,             0.85727,                   1,               0.995,             0.67153,            0.012569,           0.0045424,           0.0004818,           0.0035307,           0.0035307,           0.0035307
                  68,            0.029136,            0.012582,           0.0034581,             0.79857,                   1,             0.97833,             0.66287,            0.015519,            0.004199,          0.00046735,           0.0034327,           0.0034327,           0.0034327
                  69,             0.02845,            0.013304,           0.0031738,              0.9257,             0.98033,               0.995,             0.68761,            0.013808,           0.0040188,          0.00046034,           0.0033347,           0.0033347,           0.0033347
